DataSeriesID,rate,temp,DAY,Bioname
386606,0,35,0,Beauveria
386606,3.325,35,2,Beauveria
386606,1.68,35,5,Beauveria
386606,1.58,35,6,Beauveria
386606,1.4,35,7,Beauveria
386606,1.25,35,8,Beauveria
386606,1.19,35,9,Beauveria
386606,1.1,35,10,Beauveria
386606,1.03,35,12,Beauveria
386606,1.01,35,13,Beauveria
386606,1.02,35,14,Beauveria
386606,0.95,35,15,Beauveria
386606,1.02,35,16,Beauveria
386606,0.91,35,19,Beauveria
386606,0.94,35,21,Beauveria
387294,0,35,0,Beauveria
387294,0,35,2,Beauveria
387294,0,35,5,Beauveria
387294,0,35,6,Beauveria
387294,0,35,7,Beauveria
387294,0,35,8,Beauveria
387294,0,35,9,Beauveria
387294,0,35,10,Beauveria
387294,0,35,12,Beauveria
387294,0,35,13,Beauveria
387294,0,35,14,Beauveria
387294,0,35,15,Beauveria
387294,0,35,16,Beauveria
387294,0,35,19,Beauveria
387294,0,35,21,Beauveria
386696,0,35,0,Beauveria
386696,0,35,2,Beauveria
386696,0,35,5,Beauveria
386696,0,35,6,Beauveria
386696,0,35,7,Beauveria
386696,0,35,8,Beauveria
386696,0,35,9,Beauveria
386696,0,35,10,Beauveria
386696,0,35,12,Beauveria
386696,0,35,13,Beauveria
386696,0,35,14,Beauveria
386696,0,35,15,Beauveria
386696,0,35,16,Beauveria
386696,0,35,19,Beauveria
386696,0,35,21,Beauveria
232818,0,35,0,Beauveria
232818,0,35,2,Beauveria
232818,0,35,5,Beauveria
232818,0,35,6,Beauveria
232818,0,35,7,Beauveria
232818,0,35,8,Beauveria
232818,0,35,9,Beauveria
232818,0,35,10,Beauveria
232818,0,35,12,Beauveria
232818,0,35,13,Beauveria
232818,0,35,14,Beauveria
232818,0,35,15,Beauveria
232818,0,35,16,Beauveria
232818,0,35,19,Beauveria
232818,0,35,21,Beauveria
386608,0,35,0,Beauveria
386608,0,35,2,Beauveria
386608,2,35,5,Beauveria
386608,1.67,35,6,Beauveria
386608,1.5,35,7,Beauveria
386608,1.41,35,8,Beauveria
386608,1.31,35,9,Beauveria
386608,1.25,35,10,Beauveria
386608,1.02,35,12,Beauveria
386608,1.01,35,13,Beauveria
386608,0.99,35,14,Beauveria
386608,0.93,35,15,Beauveria
386608,0.91,35,16,Beauveria
386608,0.97,35,19,Beauveria
386608,1,35,21,Beauveria
386607,0,35,0,Beauveria
386607,0,35,1,Beauveria
386607,0,35,2,Beauveria
386607,0,35,3,Beauveria
386607,0,35,4,Beauveria
386607,0.99,35,7,Beauveria
386607,0.975,35,8,Beauveria
386607,1.16,35,9,Beauveria
386607,1.17,35,10,Beauveria
386607,1.12,35,11,Beauveria
386607,1.05,35,14,Beauveria
386607,1.04,35,16,Beauveria
358840,0,35,0,Beauveria
358840,0,35,1,Beauveria
358840,0,35,2,Beauveria
358840,0,35,3,Beauveria
358840,0,35,4,Beauveria
358840,0,35,7,Beauveria
358840,0,35,8,Beauveria
358840,0,35,9,Beauveria
358840,0,35,10,Beauveria
358840,0,35,11,Beauveria
358840,0,35,14,Beauveria
358840,0,35,16,Beauveria
331269,0,35,0,Beauveria
331269,0,35,1,Beauveria
331269,0,35,2,Beauveria
331269,0,35,3,Beauveria
331269,0,35,4,Beauveria
331269,0,35,7,Beauveria
331269,0,35,8,Beauveria
331269,0,35,9,Beauveria
331269,0,35,10,Beauveria
331269,0,35,11,Beauveria
331269,0,35,14,Beauveria
331269,0,35,16,Beauveria
170149,0,35,0,Metarhizium
170149,0,35,1,Metarhizium
170149,0,35,2,Metarhizium
170149,0,35,3,Metarhizium
170149,0,35,4,Metarhizium
170149,0,35,7,Metarhizium
170149,0,35,8,Metarhizium
170149,0,35,9,Metarhizium
170149,0.83,35,10,Metarhizium
170149,0.75,35,11,Metarhizium
170149,0.96,35,14,Metarhizium
170149,1.09,35,16,Metarhizium
98375,0,35,0,Metarhizium
98375,9.8,35,1,Metarhizium
98375,8.5,35,2,Metarhizium
98375,6.7,35,3,Metarhizium
98375,6.325,35,4,Metarhizium
98375,4.59,35,7,Metarhizium
98375,4.42,35,8,Metarhizium
98375,4.06,35,9,Metarhizium
98375,3.71,35,10,Metarhizium
98375,3.62,35,11,Metarhizium
98375,3.15,35,14,Metarhizium
98375,3.25,35,16,Metarhizium
